line.id phenotype sex
line_392 0.142 m
line_392 0.139 m
line_392 0.118 m
line_843 0.117 m
line_843 0.206 m
line_843 0.197 m
line_843 0.145 m
line_843 0.144 m
line_907 0.138 m
line_907 0.14 m
line_907 0.138 m
line_907 0.132 m
line_907 0.148 m
line_913 0.11 m
line_913 0.146 m
line_913 0.147 m
line_913 0.099 m
line_913 0.132 m
line_228 0.182 m
line_228 0.201 m
line_228 0.182 m
line_228 0.171 m
line_228 0.182 m
line_75 0.181 m
line_75 0.17 m
line_75 0.161 m
line_75 0.176 m
line_75 0.184 m
line_365 0.137 m
line_365 0.142 m
line_365 0.115 m
line_365 0.119 m
line_365 0.132 m
line_721 0.156 m
line_721 0.142 m
line_721 0.146 m
line_721 0.184 m
line_721 0.141 m
line_774 0.173 m
line_774 0.148 m
line_774 0.142 m
line_774 0.12 m
line_774 0.139 m
line_136 0.178 m
line_136 0.202 m
line_136 0.192 m
line_136 0.18 m
line_136 0.162 m
line_551 0.148 m
line_551 0.155 m
line_551 0.138 m
line_551 0.163 m
line_551 0.054 m
line_360 0.19 m
line_360 0.182 m
line_360 0.18 m
line_360 0.192 m
line_360 0.211 m
line_505 0.14 m
line_505 0.144 m
line_505 0.149 m
line_505 0.163 m
line_505 0.124 m
line_355 0.187 m
